Marketing_Campaign_Indicator,Website_Engagement_Indicator,Engagement Score,Lead Source Category,Lead Source Channel,Referring_Bank_Region,has_website,has_instagram,has_twitter,has_facebook,insta_ratio,twt_presence,twt_ratio,has_sum,LF-Industry_Business To Business,LF-Industry_Construction,LF-Industry_Groceries,LF-Industry_Health Care & Pharmacies,LF-Industry_Lodging,LF-Industry_Non-Profit / Government,LF-Industry_Other,LF-Industry_Personal Services,LF-Industry_Professional Services,LF-Industry_Restaurants & Quick Serve Restaurants,LF-Industry_Retail,LF-Industry_Retail - Apparel,LF-Industry_Transportation,LF-Industry_Unknown,Converted,Lead_Quality_Score
0,0,0.0,0,2,35,1,0,0,1,0.518519,0,0.423076923,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,0,2,35,1,0,0,1,0.37037,0,0.230769231,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,1,2,35,0,1,1,1,0.571429,1,0.8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.11
1,0,90.0,0,2,35,1,0,1,1,0.0,1,0.538461538,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.96
0,0,0.0,5,1,35,1,0,0,1,0.0,0,0.4,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0.87
0,0,0.0,2,2,25,0,0,0,1,0.4375,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.26
0,0,0.0,2,2,25,0,1,1,1,0.857143,1,0.611111111,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.45
0,0,0.0,0,2,35,1,0,1,1,0.428571,1,0.684210526,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,34,0,0,0,1,0.0,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,0,2,35,1,0,1,1,0.27027,1,0.666666667,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.7
1,0,0.0,2,2,7,0,0,1,0,0.355556,1,0.523809524,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,0,2,35,1,0,0,1,0.0,0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,2,1,1,0,1,0.954545,0,0.4,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.006666666666666666
0,0,0.0,2,2,24,1,0,0,1,0.391304,0,0.0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.28
1,0,10.0,4,0,35,1,0,0,1,0.0,0,0.272727273,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.02
1,0,30.0,4,0,35,0,1,0,1,0.923077,0,0.4,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,2,2,24,1,0,1,0,0.384615,1,0.88,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.25
1,0,0.0,0,2,35,1,0,0,1,0.318182,0,0.3125,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,0.0,8,0,35,1,0,0,1,0.461538,0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
